[제조]유동자산구성비율,[제조]순운전자본비율,[제조]총자본증가율,[제조]매출채권회전률,[제조]자본분배율,[제조]매입채무회전기간,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,year,label
56.18,28.23,1.98,2.45,10.18,30.53,-12.89,-8.5,-8.28,2011,0
82.49,70.6,109.15,1.85,-710.1,46.62,-16.43,-40.97,-26.84,2012,0
68.34,58.5,-2.09,2.07,28.72,58.88,77.05,1.45,0.74,2013,0
48.74,33.72,3.86,1.86,20.7,69.23,68.15,0.69,0.32,2014,0
46.47,30.82,-2.64,2.1,-44.1,64.54,1.66,-13.5,-7.62,2015,0
70.98,62.75,96.31,2.66,36.47,58.3,6.43,5.24,2.34,2016,0
74.13,64.2,-1.27,3.01,35.91,55.76,-12.01,6.83,2.85,2017,0
71.14,63.71,4.39,3.08,32.67,40.86,16.47,12.16,6.01,2018,0
61.43,34.75,12.78,4.27,-20.2,18.51,30.73,-8.99,-12.61,2011,0
49.06,38.68,-16.58,12.19,13.89,10.05,10.17,-0.64,0.29,2012,0
81.37,73.67,1.85,15.18,-710.1,7.71,-58.53,-28.08,-40.47,2013,0
81.63,71.03,20.1,13.48,17.27,8.83,18.41,-1.38,1.15,2014,0
74.04,64.37,-1.75,14.27,-97.05,10.27,38.88,-5.47,1.56,2015,0
48.39,45.15,89.08,13.3,83.83,11.62,275.9,41.16,38.07,2016,0
48.2,44.7,0.69,13.8,44.51,11.55,1.06,4.86,2.41,2017,0
40.08,6.62,6.17,11.85,-290.13,11.57,22.82,-18.13,-5.54,2018,0
44.4,22.99,22.76,12.66,52.08,3.28,22.02,13.28,18.06,2011,0
37.54,20.11,31.24,12.67,50.21,7.81,47.43,13.64,21.3,2012,0
41.01,24.57,7.02,11.61,48.33,11.32,1.07,13.45,15.65,2013,0
42.54,26.07,8.02,27.05,45.15,10.72,5.21,8.4,8.18,2014,0
49.71,37.14,6.63,25.06,48.03,9.75,-6.68,9.31,11.99,2015,0
47.89,31.68,19.71,10.12,41.73,12.64,24.06,9.96,10.68,2016,0
49.57,27.52,6.03,7.68,40.03,19.48,2.61,8.32,8.88,2017,0
51.54,31.87,13.54,7.13,42.38,15.99,9.09,11.92,12.58,2018,0
80.03,73.22,89.9,3.59,0.0,86.86,55.69,-377.34,-37.55,2016,0
53.49,40.0,-0.51,20.71,0.0,49.54,131.69,-126.27,-46.19,2017,0
66.94,39.53,55.08,7.39,0.0,60.27,10.24,-155.96,-37.79,2018,0
