회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율,[제조]유형자산증가율,[제조]매출액증가율,[제조]비유동자산증가율,[제조]유동자산증가율,[제조]자기자본증가율,[제조]순이익증가율,[제조]재고자산증가율,[제조]매출액총이익률,[제조]매출액순이익률,[제조]총자본사업이익률,[제조]총자본순이익률,[제조]자기자본순이익률,[제조]1주당순이익,[제조]1주당매출액,[제조]총자본회전률,[제조]자기자본회전률,[제조]비유동자산회전률,[제조]재고자산회전률,[제조]매출채권회전률,[제조]매입채무회전률,[제조]매입채무회전기간,[제조]재고자산회전기간,[제조]매출채권회전기간,[제조]1회전기간,[제조]운전자본회전률,[제조]순운전자본회전률,[제조]유형자산회전율,[제조]유동자산회전률,[제조]당좌자산회전률,[제조]유동비율,[제조]당좌비율,[제조]현금비율,[제조]순운전자본비율,[제조]부채비율,[제조]자기자본배율,[제조]이자보상배율(이자비용),[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]부가가치,[제조]총자본투자효율,[제조]설비투자효율,[제조]기계투자효율,[제조]부가가치율,[제조]노동소득분배율,[제조]자본분배율,[제조]이윤분배율,label
(주)금빛,45890,11-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-28.11,-3.53,-24.64,-4,-42.51,-25.96,0,-57.36,-11.19,-58.01,-21.38,-24.95,-59.57,-1366,2205.57,0.43,1.07,1.01,1.51,2.4,3.79,96.41,241.22,151.89,0,7.67,0.42,1.26,0.75,1.49,104.65,62.18,10.5,2.22,148.74,357.95,-7.72,124.22,50.06,40.2,-20171.84,-18.45,-46.14,-697.68,-35.89,0,0,0,0
(주)금빛,45890,12-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-10.15,-1.04,27.92,3.85,-24.12,-10.1,0,-15.85,27.73,-8.84,-3.81,-6.12,-14.7,-272,2821.38,0.69,1.69,1.29,3.52,5.12,7.74,47.16,103.81,71.23,0.01,1.11,0.73,1.65,1.49,2.6,83.68,46.03,10.22,-8.24,139.1,321.8,-1.49,138.02,42.28,41.82,7320.9,7.45,16.92,233.27,10.18,137.85,-37.85,-86.79,0
(주)금빛,45890,13-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,5.84,-2.39,22.98,7.46,3.64,5.71,0,-14.98,28.99,3.27,5.48,2.86,6.85,116,3469.69,0.87,2.09,1.5,5.11,6.68,10.85,33.64,71.37,54.61,0.01,1.06,0.92,2.07,2.09,3.54,73.49,46.36,11.65,-14.93,139.4,340.18,1.83,140.3,41.4,41.77,22703.29,21.84,53.79,887.9,25.68,61.47,38.53,12.74,0
(주)금빛,45890,14-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,5.01,0.15,-6.51,3.77,6.78,4.33,-43.56,27.64,30.81,1.97,5.48,1.53,3.68,65,3243.93,0.78,1.86,1.33,4.57,4.84,7.52,48.55,79.85,75.45,0.01,0.53,0.79,1.96,1.86,3.13,74.14,41.42,1.79,-14.68,141.45,354.91,2.26,139.82,42.09,41.42,23218.34,21.27,54.96,790.82,28.09,66.07,33.93,7.02,0
(주)금빛,45890,15-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,1.56,-0.2,2.58,-0.8,4.8,7.47,88.01,0.3,29.44,3.62,3.95,2.79,6.54,123,3327.49,0.77,1.81,1.35,4.17,4.48,7.25,50.32,87.43,81.45,0.01,0.71,0.8,2.01,1.8,3.17,87.38,50.47,1.67,-6.28,128.17,381.42,1.82,129.07,43.43,43.83,23668.16,21.35,56.24,832.41,27.91,63.79,36.21,12.95,0
(주)금빛,45890,16-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-0.15,-2.69,-10.77,4.94,-6.78,8.9,-13.73,-13.78,30.9,3.5,3.84,2.39,5.21,105,2933.13,0.68,1.49,1.18,3.99,4.35,9.24,39.5,91.37,83.94,0.01,0,0.78,1.82,1.63,2.74,100.63,61.32,6.06,0.25,109.21,407.58,1.83,124.37,40.55,47.8,22485.48,20.31,54.94,963.82,29.72,63.14,36.86,11.76,0
(주)금빛,45890,17-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-0.97,-2.67,-3.64,-14.92,19.48,-15.23,-304,16.97,25.85,-7.4,0.09,-4.9,-11.04,-211,2796.91,0.66,1.49,1.2,3.83,4.07,7.54,48.4,95.25,89.67,0.01,2.77,0.8,1.8,1.48,2.41,135.38,83.6,9.98,12.78,144.41,340.41,0.03,124.84,48.92,40.91,16634.17,15.17,41.76,755.92,22.82,84.22,15.78,-32.44,0
(주)금빛,45890,18-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,-6.41,37.83,-27.08,3.67,-16.92,11.08,0,-22.62,5.24,-12.5,-15.6,-6.26,-14.04,-256,1999.62,0.5,1.12,0.93,2.92,3.37,5.33,68.47,124.9,108.18,0.01,1.04,0.6,1.12,1.08,1.72,112.13,72.19,10.5,4.7,105.94,374.84,-8.83,116.5,43.43,48.56,10254.87,9.99,18.7,595.25,19.29,139.63,-39.63,-64.8,0
(주)금빛,45890,19-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,0.23,2.58,10.33,12.85,-16.21,-37.73,0,-23.16,15.07,-62.78,-15.3,-35.84,-91.08,-1163,2033.25,0.57,1.45,0.95,4.18,6.21,9.38,38.91,87.34,58.78,0.01,0.99,0.62,1.05,1.43,2.18,55.42,37.32,6.13,-29.2,231.46,162.26,-4.07,211.13,36.3,30.17,-15590.79,-15.16,-27.96,-1381.64,-26.58,0,0,0,0
(주)금빛,45890,20-Dec,2005-11-28,2021-12-20,4,    전구 및 조명장치 제조업,19.45,8.74,-30.22,19.44,19.47,62.3,0,-51.27,6.56,-43.47,-16.68,-15.77,-43.72,-336,846.52,0.36,1.01,0.57,4.51,6.45,6.09,59.91,80.88,56.56,0.01,0.21,0.38,0.69,1,1.28,68.34,59.24,4.68,-16.82,143.95,134.17,-4.86,155.38,36.31,40.99,272.56,0.22,0.45,11.12,0.67,4117.38,-4017.38,-6527.69,1
