[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
66.05,0.86,1.38,1.98,200.97,-12.89,406.28,-5.58,19.56,2011,0
55.32,0.42,1.48,109.15,693.49,-16.43,332.74,-15.78,1.66,2012,0
91.1,0.54,1.06,96.31,862.15,6.43,361.04,2.06,31.9,2016,0
90.91,0.55,1.63,4.39,957.86,16.47,457.95,5.42,33.79,2018,0
70.74,1.09,2.49,12.78,230.24,30.73,2296.51,-8.65,22.56,2011,0
86.12,2.03,2.37,-16.58,472.77,10.17,2392.63,-0.78,32.14,2012,0
89.89,1.69,3.62,1.85,1056.51,-58.53,1862.12,-35.23,2.45,2013,0
87.66,0.94,4.64,20.1,769.89,18.41,1218.29,-1.19,12.98,2014,0
89.27,0.85,3.39,-1.75,765.67,38.88,1155.09,-4.11,6.33,2015,0
68.18,0.68,1.0,89.08,1493.9,275.9,861.65,24.2,78.38,2016,0
62.93,0.49,0.55,6.17,119.8,22.82,405.6,-5.61,3.45,2018,0
69.15,1.54,1.55,31.24,215.35,47.43,5178.45,12.54,44.97,2012,0
75.19,1.42,1.32,7.02,249.42,1.07,5299.73,10.77,46.45,2013,0
76.63,1.45,1.46,8.02,258.29,5.21,5961.89,7.12,42.5,2014,0
80.03,1.48,1.67,6.63,395.42,-6.68,6770.89,8.38,45.5,2015,0
76.28,1.4,1.73,19.71,295.5,24.06,7548.86,8.82,44.44,2016,0
74.89,1.32,1.75,6.03,224.87,2.61,8586.04,7.46,41.89,2017,0
75.4,1.27,1.83,13.54,262.0,9.09,9510.3,10.77,48.35,2018,0
48.43,0.09,0.12,89.9,1175.05,55.69,122.7,-22.92,-255.08,2016,0
51.87,0.29,0.42,-0.51,396.43,131.69,561.97,-24.43,-7.08,2017,0
65.01,0.18,0.4,55.08,244.28,10.24,553.16,-23.75,-36.34,2018,0
40.45,0.8,12.14,66.16,151.93,51.99,10044.45,10.05,17.62,2012,0
63.33,0.46,5.16,-18.84,231.75,24.16,3999.48,4.85,24.19,2013,0
75.25,0.67,3.54,-7.46,294.21,67.54,3577.34,1.61,16.53,2014,0
66.21,0.56,2.05,27.48,333.65,23.54,3028.16,0.12,16.93,2015,0
71.37,0.57,1.84,-9.68,444.3,4.17,2772.4,-1.38,19.26,2016,0
51.84,0.98,3.38,20.72,202.02,6.99,5378.26,-7.57,0.84,2017,0
53.5,0.8,3.55,0.71,161.8,-7.26,5632.02,1.83,13.5,2018,0
67.83,1.21,1.11,10.06,168.76,0.31,2682.17,3.82,22.21,2018,0
80.02,1.21,3.97,23.1,424.78,20.36,9985.15,19.83,33.63,2011,0
80.7,1.26,4.38,18.79,498.93,7.56,12044.42,15.99,30.26,2012,0
81.29,1.09,4.34,17.03,532.19,2.2,12495.79,12.42,27.9,2013,0
81.74,1.18,4.83,17.17,530.61,26.92,10630.89,16.84,32.69,2014,0
82.76,1.07,4.16,12.09,579.96,11.95,10761.79,15.66,31.9,2015,0
