[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
56.18,28.23,30.53,1.98,2.45,-8.5,89.82,-8.28,-1.43,2011,0
82.49,70.6,46.62,109.15,1.85,-40.97,810.1,-26.84,7.73,2012,0
68.34,58.5,58.88,-2.09,2.07,1.45,71.28,0.74,56.29,2013,0
48.74,33.72,69.23,3.86,1.86,0.69,79.3,0.32,6.37,2014,0
46.47,30.82,64.54,-2.64,2.1,-13.5,144.1,-7.62,11.04,2015,0
70.98,62.75,58.3,96.31,2.66,5.24,63.53,2.34,17.2,2016,0
74.13,64.2,55.76,-1.27,3.01,6.83,64.09,2.85,23.63,2017,0
71.14,63.71,40.86,4.39,3.08,12.16,67.33,6.01,8.45,2018,0
61.43,34.75,18.51,12.78,4.27,-8.99,120.2,-12.61,0.0,2011,0
49.06,38.68,10.05,-16.58,12.19,-0.64,86.11,0.29,0.0,2012,0
81.37,73.67,7.71,1.85,15.18,-28.08,810.1,-40.47,29.33,2013,0
81.63,71.03,8.83,20.1,13.48,-1.38,82.73,1.15,-2.89,2014,0
74.04,64.37,10.27,-1.75,14.27,-5.47,197.05,1.56,11.49,2015,0
48.39,45.15,11.62,89.08,13.3,41.16,16.17,38.07,9.8,2016,0
48.2,44.7,11.55,0.69,13.8,4.86,55.49,2.41,12.07,2017,0
40.08,6.62,11.57,6.17,11.85,-18.13,390.13,-5.54,10.67,2018,0
44.4,22.99,3.28,22.76,12.66,13.28,47.92,18.06,-53.95,2011,0
37.54,20.11,7.81,31.24,12.67,13.64,49.79,21.3,644.97,2012,0
41.01,24.57,11.32,7.02,11.61,13.45,51.67,15.65,-62.32,2013,0
42.54,26.07,10.72,8.02,27.05,8.4,54.85,8.18,0.0,2014,0
49.71,37.14,9.75,6.63,25.06,9.31,51.97,11.99,0.0,2015,0
47.89,31.68,12.64,19.71,10.12,9.96,58.27,10.68,0.0,2016,0
49.57,27.52,19.48,6.03,7.68,8.32,59.97,8.88,22.86,2017,0
51.54,31.87,15.99,13.54,7.13,11.92,57.62,12.58,18.31,2018,0
80.03,73.22,86.86,89.9,3.59,-377.34,0.0,-37.55,74.02,2016,0
53.49,40.0,49.54,-0.51,20.71,-126.27,0.0,-46.19,0.0,2017,0
66.94,39.53,60.27,55.08,7.39,-155.96,0.0,-37.79,11.21,2018,0
90.18,30.82,60.27,66.16,2.56,8.43,39.28,24.85,0.0,2012,0
84.97,48.31,88.23,-18.84,1.77,7.74,57.57,9.57,-45.21,2013,0
72.8,48.05,56.23,-7.46,2.52,2.18,84.56,2.33,-16.77,2014,0
73.64,51.57,70.79,27.48,2.93,0.22,87.22,0.18,0.0,2015,0
69.59,53.93,61.42,-9.68,1.99,-2.66,83.76,-1.99,-72.83,2016,0
73.05,36.89,45.93,20.72,2.27,-7.86,810.1,-12.58,7.8,2017,0
75.18,28.72,56.25,0.71,1.97,1.99,59.86,4.19,50.46,2018,0
39.17,15.96,21.87,10.06,2.81,5.42,45.89,5.67,27.42,2018,0
72.76,55.63,30.92,23.1,3.74,18.15,30.27,25.06,55.18,2011,0
75.33,60.23,25.72,18.79,4.19,14.12,36.28,19.91,24.53,2012,0
78.46,63.72,28.92,17.03,3.78,12.45,43.86,15.35,17.62,2013,0
76.66,62.22,24.76,17.17,4.23,15.48,35.96,20.68,-13.41,2014,0
76.69,63.47,23.65,12.09,3.62,16.13,40.52,18.99,6.93,2015,0
79.38,65.3,25.6,22.83,3.49,17.3,37.15,20.61,1.13,2016,0
78.63,62.9,27.04,5.17,3.33,13.15,44.71,16.76,13.99,2017,0
81.55,67.04,24.45,35.99,3.17,17.76,35.11,21.86,40.8,2018,0
50.3,3.73,6.83,3.62,6.78,2.11,38.14,4.57,-6.66,2011,0
51.32,11.48,6.9,11.3,6.26,-14.74,84.18,-26.93,-7.75,2012,0
30.7,-27.23,8.26,-0.98,6.81,-42.57,556.52,-86.53,18.51,2013,0
32.39,-21.44,11.98,-9.55,6.26,-29.79,139.48,-90.29,-6.15,2014,0
63.75,30.79,12.99,-47.32,4.35,-42.81,159.17,-76.1,-20.77,2015,0
46.38,26.73,10.96,-22.53,3.27,2.46,41.69,2.65,-15.93,2016,0
63.07,44.44,6.65,-8.02,4.12,-62.3,0.0,-57.72,-46.01,2017,0
49.52,-16.42,6.49,147.31,5.94,-50.46,0.0,-32.3,22.05,2018,0
54.98,45.96,0.0,18.86,8.87,8.81,46.9,4.62,62.34,2011,0
63.73,51.73,6.27,8.69,3.56,2.43,54.39,1.14,56.32,2012,0
49.6,17.61,0.0,12.81,1.46,-130.88,0.0,-57.94,0.0,2013,0
56.96,14.19,0.0,24.52,2.16,-44.83,341.31,-48.56,0.0,2014,0
50.06,35.75,0.0,-31.89,2.95,-54.82,0.0,-55.42,-77.71,2015,0
48.9,-11.2,4.49,-47.32,3.37,-244.4,0.0,-163.9,-85.89,2016,0
64.8,-13.3,22.92,138.88,3.44,-19.18,42.93,-26.61,644.97,2017,0
63.42,31.19,8.66,42.37,5.56,-78.34,0.0,-21.81,0.0,2018,0
47.78,17.74,7.67,5.49,17.57,16.84,38.25,30.3,0.0,2016,0
63.31,42.84,8.23,34.99,13.6,39.68,36.23,42.78,3.72,2017,0
57.18,35.79,8.04,0.15,11.28,10.28,50.4,10.63,-20.04,2018,0
73.08,65.89,7.83,100.9,29.65,21.54,32.02,18.23,114.65,2011,0
49.42,25.77,7.55,43.08,28.11,25.33,29.93,19.34,202.37,2012,0
43.93,10.91,8.42,17.92,26.82,0.77,36.31,0.67,79.92,2013,0
23.19,-2.06,7.92,19.47,27.89,18.44,31.17,17.4,-5.3,2014,0
12.66,-0.84,14.64,0.69,16.09,41.16,122.17,42.78,-21.51,2015,0
13.45,-5.56,8.85,-0.85,50.51,1.18,60.02,0.75,41.01,2016,0
15.51,-0.45,12.59,-0.56,40.0,-10.1,99.7,-4.2,19.22,2017,0
12.9,-14.11,17.53,2.41,25.51,-3.37,53.42,-1.45,27.37,2018,0
57.26,29.83,34.56,-21.74,5.45,2.43,57.62,4.63,-29.2,2011,0
59.64,36.46,32.31,3.95,6.35,0.69,77.78,0.98,10.83,2012,0
65.45,37.83,33.4,13.17,8.26,1.58,76.78,2.54,-26.84,2013,0
61.24,26.21,23.96,141.05,6.17,-0.1,82.26,1.09,0.0,2014,0
39.38,2.21,13.56,21.66,19.39,3.89,60.13,12.54,-7.82,2015,0
38.38,-7.7,141.49,56.89,4.24,-2.17,102.57,-1.92,0.0,2016,0
37.57,2.26,71.16,-9.38,8.29,-17.46,251.07,-15.47,-17.95,2017,0
40.11,-7.46,54.41,-9.73,7.18,-20.82,0.0,-26.58,15.99,2018,0
49.48,5.07,20.43,-28.38,5.94,-96.85,0.0,-131.02,0.0,2011,0
42.62,6.2,30.59,-26.54,4.0,-25.96,290.6,-36.23,0.0,2012,0
40.45,-20.62,92.37,-36.57,3.08,-139.87,0.0,-150.0,-32.89,2013,0
34.01,-18.9,13.37,-3.56,13.65,-2.24,74.11,-8.66,-7.5,2014,0
25.02,-5.66,43.59,-24.15,4.75,-15.46,120.82,-33.57,106.72,2015,0
40.89,-4.8,35.43,37.65,6.63,0.36,75.81,1.21,49.82,2016,0
51.64,4.82,63.12,-0.48,4.0,-15.56,142.37,-31.04,-73.58,2017,0
60.85,8.14,73.99,-1.79,3.4,-22.19,224.81,-51.67,0.0,2018,0
39.37,-30.4,40.55,4.74,6.64,-0.44,58.86,-1.4,2.89,2011,0
41.17,-30.55,39.27,7.82,7.06,1.05,55.25,4.49,23.0,2012,0
35.98,-23.73,34.59,-7.4,8.4,1.26,58.88,5.74,-5.16,2013,0
36.65,-14.26,32.3,4.44,7.61,1.31,62.82,4.75,22.12,2014,0
36.47,-6.2,31.64,3.51,7.54,2.42,63.5,7.74,-9.04,2015,0
